Реестр;Дата выплаты;Период;Дивиденд;Доход %
12.07.2022;;2021;33,85 ;15
12.10.2021;;2021;10,55 ;4
08.07.2021;;2020;26,51 ;9
12.10.2020;26.10.2020;2020;8,93 ;3
09.07.2020;;2019;20,57 ;7
10.01.2020;;2019;13,25 ;5
14.10.2019;;2019;8,68 ;4
09.07.2019;23.07.2019;2018;19,98 ;8
09.10.2018;;2018;2,60 ;1
09.07.2018;23.07.2018;2017;23,40 ;9
13.10.2017;27.10.2017;2017;10,40 ;4
10.07.2017;24.07.2017;2016;15,60 ;7
14.10.2016;;2016;11,99 ;6
05.07.2016;19.07.2016;2015;14,01 ;6
14.10.2015;28.10.2015;2015;5,61 ;3
07.07.2015;21.07.2015;2014;19,56 ;9
14.10.2014;;2014;6,20 ;3
07.07.2014;;2013;18,60 ;7
14.08.2013;;2013;5,22 ;2
08.05.2013;;2012;14,60 ;6
10.05.2012;;2011;14,71 ;7
10.05.2011;;2010;14,54 ;6
07.05.2010;;2009;15,40 ;7
08.05.2009;;2008;20,15 ;12
08.05.2008;;2007;14,84 ;6
14.05.2007;;2006;9,67 ;5
06.05.2006;;2005;7,60 ;5
03.05.2005;;2004;5,75 ;4
10.05.2004;;2003;3,20 ;3
<th>Реестр</th>;<th>Дата выплаты</th>;<th>Период</th>;<th>Дивиденд</th>;<th>Доход</th>
12.07.2022;;2021;33,85 ;15
12.10.2021;;2021;10,55 ;4
08.07.2021;;2020;26,51 ;9
12.10.2020;26.10.2020;2020;8,93 ;3
09.07.2020;;2019;20,57 ;7
10.01.2020;;2019;13,25 ;5
14.10.2019;;2019;8,68 ;4
09.07.2019;23.07.2019;2018;19,98 ;8
09.10.2018;;2018;2,60 ;1
09.07.2018;23.07.2018;2017;23,40 ;9
13.10.2017;27.10.2017;2017;10,40 ;4
10.07.2017;24.07.2017;2016;15,60 ;7
14.10.2016;;2016;11,99 ;6
05.07.2016;19.07.2016;2015;14,01 ;6
14.10.2015;28.10.2015;2015;5,61 ;3
07.07.2015;21.07.2015;2014;19,56 ;9
14.10.2014;;2014;6,20 ;3
07.07.2014;;2013;18,60 ;7
14.08.2013;;2013;5,22 ;2
08.05.2013;;2012;14,60 ;6
10.05.2012;;2011;14,71 ;7
10.05.2011;;2010;14,54 ;6
07.05.2010;;2009;15,40 ;7
08.05.2009;;2008;20,15 ;12
08.05.2008;;2007;14,84 ;6
14.05.2007;;2006;9,67 ;5
06.05.2006;;2005;7,60 ;5
03.05.2005;;2004;5,75 ;4
10.05.2004;;2003;3,20 ;3
